name,type,label,cog,schoold,fips,region,municode
ELIZABETH,TOWNSHIP,Elizabeth Township,South Hills Area,Elizabeth Forward,23000,MV,908
ELIZABETH,BOROUGH,Elizabeth Borough,Steel Rivers,Elizabeth Forward,22992,MV,825
WEST ELIZABETH,BOROUGH,West Elizabeth Borough,Steel Rivers,West Jefferson Hills,82848,MV,862
SOUTH PARK,TOWNSHIP,South Park Township,South Hills Area,South Park,6064,SH,945
WEST MIFFLIN,BOROUGH,West Mifflin Borough,South Hills Area,West Mifflin Area,83512,MV,870
MOUNT OLIVER,BOROUGH,Mount Oliver Borough,South Hills Area,City of Pittsburgh,51744,PGH,839
WHITAKER,BOROUGH,Whitaker Borough,Steel Rivers,West Mifflin Area,84440,MV,865
HOMESTEAD,BOROUGH,Homestead Borough,Steel Rivers,Steel Valley,35424,MV,834
MUNHALL,BOROUGH,Munhall Borough,Steel Rivers,Steel Valley,52320,MV,840
WEST HOMESTEAD,BOROUGH,West Homestead Borough,Steel Rivers,Steel Valley,83200,MV,863
GREEN TREE,BOROUGH,Green Tree Borough,Char-West,Keystone Oaks,31256,SH,831
DORMONT,BOROUGH,Dormont Borough,South Hills Area,Keystone Oaks,19576,SH,819
BALDWIN,TOWNSHIP,Baldwin Township,South Hills Area,Baldwin-Whitehall,3932,SH,902
BRENTWOOD,BOROUGH,Brentwood Borough,South Hills Area,Brentwood Borough,8416,SH,810
BALDWIN,BOROUGH,Baldwin Borough,South Hills Area,Baldwin-Whitehall,3928,SH,877
WHITEHALL,BOROUGH,Whitehall Borough,South Hills Area,Baldwin-Whitehall,84512,SH,874
MOUNT LEBANON,TOWNSHIP,Mount Lebanon Township,South Hills Area,Mt. Lebanon,51696,SH,926
CASTLE SHANNON,BOROUGH,Castle Shannon Borough,South Hills Area,Keystone Oaks,11680,SH,813
KENNEDY,TOWNSHIP,Kennedy Township,Char-West,Montour,39312,AA,919
BRIDGEVILLE,BOROUGH,Bridgeville Borough,Char-West,Chartiers Valley,8624,SH,811
UPPER ST. CLAIR,MUNICIPALI,Upper St. Clair Municipality,South Hills Area,Upper St. Clair Area,79274,SH,950
INGRAM,BOROUGH,Ingram Borough,Char-West,Montour,37000,AA,835
STOWE,TOWNSHIP,Stowe Township,Char-West,Sto-Rox,74648,AA,949
MCKEES ROCKS,BOROUGH,McKees Rocks Borough,Char-West,Sto-Rox,46264,AA,842
THORNBURG,BOROUGH,Thornburg Borough,Char-West,Montour,76560,AA,856
CRAFTON,BOROUGH,Crafton Borough,Char-West,Carlynton,16848,AA,818
ROSSLYN FARMS,BOROUGH,Rosslyn Farms Borough,Char-West,Carlynton,66320,AA,850
SCOTT,TOWNSHIP,Scott Township,South Hills Area,Chartiers Valley,68388,SH,941
CARNEGIE,BOROUGH,Carnegie Borough,Char-West,Carlynton,11336,SH,812
CRESCENT,TOWNSHIP,Crescent Township,Char-West,Moon Area,17048,AA,906
